StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,"'.class'がありません",,,,,,,,,1386235150261,1386235162007,0:00:05,true,4,2,5,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,"文ではありません",,,,,,,,,1386235150261,1386235162007,0:00:05,true,4,2,5,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386235150261,1386235199441,0:00:07,true,4,5,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386235162007,1386235199441,0:00:07,true,5,5,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,"')'がありません",,,,,,,,,1386235162007,1386235199441,0:00:07,true,5,5,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,"式の開始が不正です",,,,,,,,,1386235162007,1386235199441,0:00:07,true,5,5,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235497797\ProjectBase\Coin.java,"シンボルを見つけられません","c",変数,,,,,,,1386235497797,1386235540366,0:00:42,true,1,1,42,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235981587\ProjectBase\Coin.java,"'.class'がありません",,,,,,,,,1386235981587,1386236165506,0:01:29,true,2,2,89,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235981587\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386235981587,1386236165506,0:01:29,true,2,2,89,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,"class、interfaceまたはenumがありません",,,,,,,,,1386236068232,1386236072256,0:00:00,true,7,5,0,false
