StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386231484572\ProjectBase\Coin.java,構文解析中にファイルの終わりに移りました,,,,,,,,,1.38623E+12,1.38623E+12,0:00:00,FALSE,2,1,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386234743433\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,TRUE,2,2,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386234751090\ProjectBase\Coin.java,return文が指定されていません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:35,TRUE,1,1,35,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235141973\ProjectBase\Coin.java,')'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:08,TRUE,2,1,8,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235141973\ProjectBase\Coin.java,式の開始が不正です,,,,,,,,,1.38624E+12,1.38624E+12,0:00:07,TRUE,2,5,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,'.class'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:05,TRUE,4,2,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,文ではありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:05,TRUE,4,2,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235150261\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:07,TRUE,4,5,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:07,TRUE,5,5,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,')'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:07,TRUE,5,5,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235162007\ProjectBase\Coin.java,式の開始が不正です,,,,,,,,,1.38624E+12,1.38624E+12,0:00:07,TRUE,5,5,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235497797\ProjectBase\Coin.java,シンボルを見つけられません,c,変数,,,,,,,1.38624E+12,1.38624E+12,0:00:42,TRUE,1,1,42,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235981587\ProjectBase\Coin.java,'.class'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:01:29,TRUE,2,2,89,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235981587\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:01:29,TRUE,2,2,89,FALSE
